vnau       娩
vhqi       娥
vwg        娌
sev        娶
lav        婁
vjnu       婉
vsmb       婦
ddv        婪
vnlr       婀
vaa        娼
vhwj       婢
vhpa       婚
eev        婆
vqmv       婊
vyrn       婷
vahu       媚
vnob       婿
vtmd       媒
vbme       媛
vjmo       嫁
vkok       嫉
vhhc       嫌
vttb       媾
vsqf       媽
vwot       媼
vhup       媳
vhxe       嫂
vhwp       媲
vycb       嫡
vfbb       嫦
vdlk       嫩
vsrr       嫗
vmwf       嫖
vwvf       嫘
vmyf       嫣
vgrr       嬉
vand       嫻
vrrj       嬋
votf       嫵
vhkb       嬌
vhav       嬝
ykv        嬴
bcv        嬰
vjmc       嬪
vici       嬤
vjhw       嬸
vmbu       孀
nd         子
nnm        孑
nno        孓
ndu        孔
nsnd       孕
jnd        字
klnd       存
jknd       孝
ndok       孜
bnd        孚
ndbt       孟
ndhvo      孤
hdnd       季
ndyvo      孩
ndhvf      孫
ydkni      孰
tvid       孳 藥
sndd       孱
hhsld      孵
hbnd       學
ndmbb      孺
tjnd       孽
vfnd       孿
jp         它
jmd        宇
jdi        守
jhp        宅
jv         安
jmmu       完
jd         宋 未
jki        宏
jmmf       宗
jmyo       定
jrlr       官
jbm        宜
jlw        宙
jniu       宛
jmam       宣
jsll       宦
jmig       室
jher       客
jkb        宥
jytj       宰
jqjr       害
jmso       家
jav        宴
jrhr       宮
jfb        宵
jcor       容
jmmv       宸
jmue       寇
jmlc       寅
jkmr       寄
jyfe       寂
joma       宿
jphu       密
jtcm       寒
jmrw       富
jwlb       寓
jvmd       寐
jtak       寞
jpbn       寧
jmch       寡
jsmh       寥
jwjc       實
jtcd       寨
jvme       寢
jvmr       寤
jbof       察
jkcf       寮
jtbi       寬
jhdw       審
jhxf       寫
jybp       寵
jmuc       寶
di         寸
gdi        寺
ggdi       封
hhdi       射
sfdi       尉
jidi       專
vmbdi      將
cmwi       尊
smmri      尋
tgdi       對
yudi       導
nc         小
fh         少
fk         尖
fbr        尚 炯
iku        尤
kuoll      尬
yfiku      就
kusit      尷
s          尸
so         尺
sp         尼
ssr        局
spp        屁
se         尿
shqu       尾
suu        屈
sjr        居
sug        屆
sfd        屎
stt        屏
smnp       屍
smig       屋
sfb        屑
stv        展
shoe       屐 履
sjka       屠
shot       屜
slav       屢
scwa       層
sewi       屬
pu         屯
u          山
uon        屹
uje        岐
uoin       岑
cshu       岔
unhe       岌
urvp       岷
btu        岡
ummj       岸
umr        岩
ulw        岫
opu        岱
omu        岳
ugdi       峙
ufb        峭
ukoo       峽
uice       峻
ucor       峪
uhqi       峨
uhej       峰
hayu       島
ugno       崁
ujmf       崇
ujcm       崆
ukmr       崎
usuu       崛
umgg       崖
ubsd       崢
uapp       崑
ubb        崩
uog        崔
uomb       崙
utmo       嵌
uhni       嵐
uyrb       嵩
ujjl       嶄
usrr       嶇
unot       嶝
uhxc       嶼
uoic       嶺
ukhk       嶽
uhvi       巍
ujcc       巔
vfu        巒
urrk       巖
lll        川
hlil       州
vvwd       巢
mlm        工
ss         巨
mmvs       巧 亏
km         左
moo        巫
thm        差
su         己 已
ru         巳
au         巴
tcru       巷
rutc       巽
lb         巾
ylb        市
klb        布
lbhni      帆
kklb       希
jclb       帘
smblb      帚
lbyr       帖
lbha       帕
halb       帛
velb       帑
yblb       帝
hrlb       帥
itlb       席
hrmlb      師
fbrlb      常
kpblb      帶
lbsmv      帳
lbog       帷
lbmrw      幅
lbabu      帽
lbybc      幀
lbafu      幌
lbytj      幛
fklb       幣
takb       幕
lbwim      幗
lbawe      幔
lbytg      幢
lbyia      幟
gihab      幫
mj         干
mfj        平
oq         年
gtj        幸
jjomj      幹
vis        幻
viks       幼
uvii       幽
vihi       幾
inin       序
ipp        庇 態
id         床 术
ilo        庚
iyr        店
iodi       府
ihpm       底
ipru       庖
itq        庠
ite        度
ijwj       庫
inkg       庭
ioog       座
ile        康
ilb        庸
itf        庶
iklu       庵
ihxo       庾
iiil       廊
ibcn       廁
idbu       廂
ihhc       廉
imue       廈
iydl       廓
ismh       廖
inoe       廢
igti       廚
ijjb       廟
itcl       廝
itlc       廣
ifbk       廠
iybp       龐
iypt       廬
isgp       廳
nkhg       廷
nkhym      延
nklq       建
t          廿
it         弁 戒
mgt        弄
yct        弈
fkt        弊
ipm        式
kcipm      弒
n          弓
nl         弔 引
lln        弗
npd        弛
cnlh       弟
nyvi       弦
nhvo       弧
ven        弩
nsj        弭
nhnhh      弱
nsmv       張
nili       強
nman       弼
fkn        彆
nrrj       彈
nmfb       彌
vfn        彎
qjsm       彗
vmbwd      彙
nmfft      彞
byhhh      彤
形          形
ykmhh      彥
ddhh       彬
bdhhh      彩
brhhh      彫
gthhh      彭
yjhhh      彰
afhhh      影
hoyhs      彷
hohne      役
hoyg       往
homym      征
holln      彿
hodhe      彼
hoav       很
hogdi      待
howr       徊
holq       律
hopa       徇
hovie      後
hogyo      徒
homvm      徑
hoomd      徐
hoami      得
hoylo      徙
hoooo      從
holmy      徘
hooml      御
hooae      復
hohju      循
hohag      徨
hoybs      徬
hounk      微
hoybk      徹
hojwp      德
hougk      徵
houfk      徽 黴
p          心
ph         必
pyv        忙
pdi        忖
yvp        忘
sup        忌
gp         志
shp        忍
plbu       忱
pdk        快
hkp        忝 懲
lp         忠
php        忽
oinp       念
cshp       忿
plbk       怏
pmym       怔
pgi        怯
pid        怵
pklb       怖
peg        怪
pha        怕
pir        怡
phqm       性
vep        怒
wp         思
irp        怠 感
nmp        急
osp        怎
nup        怨
pfmu       恍
pomr       恰
pav        恨
pkf        恢
pmbm       恆
pgdi       恃
phjr       恬
pbmr       恫
pher       恪
phbt       恤
tgp        恙
iop        恣
sjp        恥
mkp        恐 憨 憨
vrp        恕
tcp        恭
wkp        恩
hup        息 憩
pfb        悄
pmmr       悟
pdl        悚
pamj       悍
powj       悔
pcnh       悌
pcru       悅 悦
pjbd       悖
nbp        恿
llp        患
hdp        悉
okp        悠
ofp        您
pjnu       惋
pyoj       悴
piyr       惦
pjlv       悽
pqmb       情
pgtj       悻
psmv       悵
pta        惜
pyaj       悼
pbtv       惘
paph       惕
pbgr       惆
pog        惟
phdd       悸
pphp       惚
imp        惑
mmp        惡
lyp        悲
anp        悶
jip        惠
psko       愜
pwls       愣
pahm       惺
prrs       愕
pkmb       惰
pbcn       惻
pumb       惴
paiu       慨
pvvw       惱
poae       愎
phag       惶
pomn       愉
phdf       愀
wbp        愚
ytap       意
tvip       慈
dup        想
bbpe       愛
tkrp       惹
hfp        愁
ombp       愈
pjbc       慎
ptyu       慌
pmwd       慄
pwot       慍
pond       愾
poir       愴
phui       愧
hep        慇
mfp        愿
pile       慷
pawe       慢
pwjc       慣
phgs       慟
pjjl       慚
piih       慘
ixe        慶
qjsmp      慧
ypwp       慮
srp        慝
takp       慕
mbphe      憂
ifp        慼 憑
sip        慰
hop        慫
cop        慾
pytg       憧
pfdq       憐
pank       憫
pcwa       憎
payf       憬
prrj       憚
pjtc       憤
pogf       憔
jqjp       憲
obp        憊
pywd       懍
pytp       憶
pirp       憾
pthg       懂
phbk       懊
pnbq       懈
iogp       應
bvp        懇
pmbb       懦
ebp        懣
pywv       懷
pdlc       懶
ptwu       懵
bfp        懸
poim       懺
pbug       懼
psjj       懾
gtiop      懿
vfp        戀
i          戈
ih         戊
ij         戎
ihm        戌
ihi        戍
ihs        成 庐
hqi        我
irm        或
vmi        戕
ihymf      戚
mui        戛
jji        戟
tvi        戡
risj       戢
jiog       截
shi        戮
rji        戰
yti        戲
jiwtc      戴
sgi        戳
hs         戶
hsyhs      房
hsik       戾
hshml      所
hsbt       扁
hssmm      扇
hsrau      扈
hslmy      扉
q          手
dh         才
qu         扎 击
qmn        打
qnhs       扔
qc         扒
qr         扣
qm         扛
qhp        托
qfh        抄
qyhn       抗
qyj        抖
qje        技
qqo        扶
qdk        抉
qng        扭
qau        把
qmsu       扼
qi         找 扩
qpp        批
qhe        扳
qnin       抒
qylm       扯
qhml       折
qcsh       扮
qhne       投
qhlo       抓 掀
qhvl       抑
nnqo       承
qyt        拉
qfq        拌
qyg        拄
qrvp       抿
qlln       拂
qdj        抹
qss        拒
qshr       招
qdhe       披
qmr        拓
qike       拔
qkus       拋
qyr        拈
qmfj       抨
qlw        抽
qwl        押
qrks       拐
quu        拙
qwyi       拇
qha        拍
qhpm       抵
qit        拚
qpru       抱
qpr        拘
qopd       拖
qvis       拗
qhmy       拆
qir        抬
qoii       拎
hqmqj      拜
qjcn       挖
qjv        按
qtt        拼
qipm       拭
qgdi       持
qgr        拮
qlwp       拽
qpa        指
qtc        拱
qjks       拷
qnem       拯
qhjr       括
qomr       拾
qomg       拴
qlmo       挑
fqq        拳
qhq        挈
orq        拿
qfb        捎
qkoo       挾
qmmv       振
qijb       捕
qmmr       捂
qwd        捆
qag        捏
qryo       捉
qnkg       挺
qrb        捐
qnau       挽
qsql       挪
qoog       挫
qiok       挨
qyrf       掠
qjcm       控
qfqu       捲
qyok       掖
qbcd       探
qytv       接
qjlo       捷
qqkq       捧
qsuu       掘
qta        措
qmgg       捱
qklu       掩
qyaj       掉
qsmb       掃
qggy       掛
qan        捫
qog        推
qomb       掄
qbbe       授
qbsd       掙
qbd        採
qpfd       掬
qlmy       排
qpou       掏
qoip       捻
qhsk       捩
qogr       捨
hnq        掣
fbrq       掌
qtw        描
qdwf       揀
qppa       揩
qnhd       揉
qnok       揆
qqkk       揍
qhjx       插
qumb       揣
qamo       提
qsmg       握
qrsj       揖
qapv       揭
qbjj       揮
qhjm       捶
qbme       援
qhdf       揪
qnbk       換 换
qstt       摒
qamh       揚
qthm       搓
qjcs       搾
qyrb       搞
qilr       搪
qtor       搭
qtod       搽
qhye       搬
qibi       搏
qhxe       搜
qeii       搔
qrbc       損
qoir       搶
qbou       搖 摇
qhau       搗
qfbk       撇
qycb       摘
qyij       摔
qybk       撤
qtak       摸
qlav       摟
qsma       摺
qwim       摑
quog       摧
icq        摩
giq        摯
takq       摹
qytg       撞
qtco       撲
qffs       撈
qfbh       撐
qruc       撰
qnoe       撥
qggu       撓
qtcl       撕
qkcf       撩
qtbk       撒
qase       撮
qhdw       播
qotf       撫
qbkf       撚
